Package,Notebook,Python,Dataset,Result,Purpose
qatacov19_hp_batch_global24_lr3e4_clean,QATACOV19_QATALVIT_BIOMEDBERT_050PCT_HP_BATCH_GLOBAL24_LR3E4.ipynb,QATACOV19_QATALVIT_BIOMEDBERT_050PCT_HP_BATCH_GLOBAL24_LR3E4.py,QaTa-COV19 public Kaggle input,QaTa-COV19 50% batch-size ablation: 83.66 / 75.09,"Notebook clean cho ablation batch size với cấu hình batch lớn hơn, lr 3e-4."
qatacov19_hp_batch_global16_lr3e4_clean,QATACOV19_QATALVIT_BIOMEDBERT_050PCT_HP_BATCH_GLOBAL16_LR3E4.ipynb,QATACOV19_QATALVIT_BIOMEDBERT_050PCT_HP_BATCH_GLOBAL16_LR3E4.py,QaTa-COV19 public Kaggle input,QaTa-COV19 50% batch-size ablation: 83.63 / 75.18,"Notebook clean cho ablation batch size với effective global batch 16, lr 3e-4."
mosmed_nobert_studentonly_valthr_50pct,MOSMED_QATALVIT_NOBERT_050PCT_STUDENTONLY_LOSSCLEANUP_CROPONLY.ipynb,MOSMED_QATALVIT_NOBERT_050PCT_STUDENTONLY_LOSSCLEANUP_CROPONLY.py,MosMedData+ public Kaggle input,MosMedData+ NoBERT SO validation-threshold row: 72.69 / 58.99,MosMed NoBERT student-only crop-only/loss-cleanup run used in Table VIII validation-threshold ablation
qatacov19_biomedbert_50pct_rerun_epi099_locked,QATACOV19_QATALVIT_BIOMEDBERT_050PCT_RERUN_EPI099.ipynb,QATACOV19_QATALVIT_BIOMEDBERT_050PCT_RERUN_EPI099.py,QaTa-COV19 public Kaggle input,QaTa-COV19 locked 50% final: 84.03 / 75.62,Locked final QaTa-COV19 BiomedBERT 50% run used for the main result and HP baseline
baseline_lvit_original_reference,BASELINE_LVIT_RUNNER.ipynb,train_model.py; test_model.py; Config.py; nets/*.py,QaTa-COV19 / MosMedData+,"Mốc LViT trong report: LViT-TW 25% = 79.08 / 69.42, 50% = 80.35 / 70.74, 100% = 81.12 / 71.37; LViT-T 25% = 80.95 / 71.31, 50% = 82.73 / 73.99, 100% = 83.66 / 75.11 trên QaTa-COV19. Trên MosMedData+, LViT-TW 25% = 70.65 / 58.07, 50% = 71.89 / 59.63, 100% = 72.58 / 60.40; LViT-T 25% = 72.48 / 60.31, 50% = 73.56 / 61.05, 100% = 74.57 / 61.33.",Source baseline LViT gốc để đối chiếu các mốc LViT-TW/LViT-T trong report.
qatacov19_all_in_one_25_50_100_runner,KAGGLE_QATACOV19_ALL_IN_ONE.ipynb,KAGGLE_QATACOV19_ALL_IN_ONE.py,QaTa-COV19 public Kaggle input,QaTa-COV19 25%: 82.22 / 73.35; 50%: 84.03 / 75.62; 100%: 85.28 / 77.25,"Notebook all-in-one để chạy lại ba mốc QaTa-COV19 25%, 50% và 100% bằng biến LABEL_RATIO."
qatacov19_biomedbert_50pct_main,QATACOV19_QATALVIT_BIOMEDBERT_050PCT_GPTPRO_FIXED.ipynb,QATACOV19_QATALVIT_BIOMEDBERT_050PCT_GPTPRO_FIXED.py,QaTa-COV19 public Kaggle input,Previous BiomedBERT 50% reference; locked 84.03 / 75.62 is in qatacov19_biomedbert_50pct_rerun_epi099_locked,Earlier QaTa-COV19 50% BiomedBERT notebook retained for comparison with the locked RERUN_EPI099 run.
qatacov19_nobert_50pct_text_encoder,QATACOV19_QATALVIT_NOBERT_050PCT_GPTPRO_FIXED.ipynb,QATACOV19_QATALVIT_NOBERT_050PCT_GPTPRO_FIXED.py,QaTa-COV19 public Kaggle input,QaTa-COV19 50%: 83.76 / 75.28,"NoBERT text-encoder ablation, replacing BiomedBERT with nn.Embedding + BiGRU while keeping later stages unchanged."
qatacov19_i3_i5_clean_off_ablation,QATACOV19_QATALVIT_I3_I5_CLEAN_OFF.ipynb,QATACOV19_QATALVIT_I3_I5_CLEAN_OFF.py,QaTa-COV19 public Kaggle input,QaTa-COV19 50% text/prompt ablation: B0 = 79.54 / 69.71; I1 = 80.89 / 71.54,Ablation biểu diễn văn bản / chuẩn hóa prompt trên QaTa-COV19.
qatacov19_hp_lr1e3_global32,QATACOV19_QATALVIT_BIOMEDBERT_050PCT_HP_LR1E3_GLOBAL32.ipynb,QATACOV19_QATALVIT_BIOMEDBERT_050PCT_HP_LR1E3_GLOBAL32.py,QaTa-COV19 public Kaggle input,QaTa-COV19 50% HP row: 82.55 / 73.76,"Hyperparameter ablation: effective batch size 32, lr = 1e-3."
